,City,Cloudiness,Country,Date,Lat,Long,Humidity,Max_Temp,Wind_Speed
0,Geraldton,75,CA,1562100605,49.72,-86.95,32,84.2,9.17
1,Ushuaia,40,AR,1562100395,-54.81,-68.31,96,32.0,13.87
2,Taltal,62,CL,1562100606,-25.41,-70.49,71,56.06,0.81
3,Kasongo-Lunda,10,CD,1562100606,-6.48,16.82,27,69.38,2.93
4,Jamestown,0,AU,1562100607,-33.21,138.6,91,46.34,6.6
5,Hermanus,99,ZA,1562100607,-34.42,19.24,79,62.01,7.0
6,Conceicao da Barra,20,BR,1562100608,-18.59,-39.73,90,71.9,5.5
7,Puerto Ayora,20,EC,1562100608,-0.74,-90.35,65,78.8,20.8
8,Thompson,90,CA,1562100612,55.74,-97.86,59,60.8,14.99
9,Hofn,90,IS,1562100613,64.25,-15.21,64,41.66,8.14
10,Kingaroy,90,AU,1562100465,-26.54,151.84,100,53.01,8.19
11,Khatanga,100,RU,1562100614,71.98,102.47,43,55.34,7.09
12,Atuona,7,PF,1562100614,-9.8,-139.03,76,80.72,13.6
13,Bambous Virieux,75,MU,1562100615,-20.34,57.76,73,71.6,8.05
14,Marzuq,36,YE,1562100615,14.4,46.47,30,80.36,7.76
15,Kayes,67,ML,1562100616,14.44,-11.44,42,90.44,21.74
16,San Luis,0,AR,1562100507,-33.3,-66.34,35,57.5,12.26
17,Port Hedland,5,AU,1562100616,-20.31,118.58,54,57.2,5.82
18,Juneau,20,US,1562100616,58.3,-134.42,68,68.0,10.29
19,Rikitea,100,PF,1562100617,-23.12,-134.97,85,66.5,19.95
20,Aklavik,40,CA,1562100618,68.22,-135.01,67,59.0,6.93
21,Ribeira Grande,75,PT,1562100619,38.52,-28.7,88,71.6,9.17
22,Saint Anthony,1,US,1562100619,43.97,-111.68,34,80.01,10.29
23,Luderitz,0,NA,1562100620,-26.65,15.16,67,57.2,14.99
24,Kruisfontein,64,ZA,1562100620,-34.0,24.73,51,61.28,11.01
25,Sisimiut,8,GL,1562100621,66.94,-53.67,80,39.68,7.02
26,Jiayuguan,57,CN,1562100621,39.77,98.29,22,73.34,1.68
27,Powell River,75,CA,1562100621,49.84,-124.52,64,68.0,11.41
28,Raymondville,1,US,1562100622,37.34,-91.83,49,93.0,5.82
29,Itaituba,40,BR,1562100622,-4.26,-55.99,58,87.8,1.81
30,Big Rapids,75,US,1562100550,43.7,-85.48,69,89.01,6.46
31,Bandarbeyla,82,SO,1562100623,9.49,50.81,65,79.28,28.14
32,Kaka,0,TM,1562100624,37.35,59.62,27,76.22,2.15
33,Grand Baie,75,MU,1562100625,-20.02,57.58,73,71.6,8.05
34,Hilo,90,US,1562100625,19.71,-155.08,51,84.2,5.82
35,Preobrazheniye,93,RU,1562100625,42.9,133.91,98,55.7,1.86
36,Severo-Kurilsk,100,RU,1562100626,50.68,156.12,96,42.56,6.11
37,Busselton,0,AU,1562100469,-33.64,115.35,74,44.01,12.28
38,Port Hardy,75,CA,1562100627,50.7,-127.42,87,57.2,3.36
39,Mataura,77,NZ,1562100627,-46.19,168.86,88,46.0,4.23
40,Okahandja,0,NA,1562100628,-21.98,16.91,20,55.4,8.05
41,Yellowknife,90,CA,1562100628,62.45,-114.38,87,51.8,13.87
42,Dikson,100,RU,1562100629,73.51,80.55,97,37.16,6.91
43,Cherskiy,32,RU,1562100630,68.75,161.3,56,52.1,15.9
44,San Cristobal,47,HN,1562100630,14.68,-86.92,34,85.04,12.88
45,Hobart,75,AU,1562100631,-42.88,147.33,81,43.0,8.05
46,Saint-Philippe,75,CA,1562100631,45.36,-73.48,37,87.01,19.46
47,Bluff,0,AU,1562100632,-23.58,149.07,84,57.5,5.01
48,Talnakh,0,RU,1562100632,69.49,88.39,48,60.8,6.71
49,Albany,75,US,1562100633,42.65,-73.75,51,84.0,8.05
50,Qaqortoq,90,GL,1562100634,60.72,-46.03,66,50.0,10.29
51,Fairbanks,90,US,1562100634,64.84,-147.72,52,70.0,4.16
52,Rorvik,75,NO,1562100635,64.86,11.24,81,44.6,11.41
53,Ostrovnoy,68,RU,1562100635,68.05,39.51,74,50.48,9.31
54,Chokurdakh,100,RU,1562100636,70.62,147.9,73,45.98,7.94
55,Hamilton,90,CA,1562100513,43.26,-79.87,78,82.0,3.36
56,Egvekinot,99,RU,1562100637,66.32,-179.17,65,54.08,6.89
57,Treuchtlingen,20,DE,1562100637,48.96,10.91,55,68.0,2.24
58,Tortosa,20,ES,1562100638,40.81,0.52,88,75.99,3.36
59,Karratha,21,AU,1562100638,-20.74,116.85,39,62.18,2.01
60,Morondava,18,MG,1562100639,-20.3,44.28,82,76.22,12.17
61,Resplendor,0,BR,1562100639,-19.33,-41.26,56,69.92,1.39
62,Pochutla,75,MX,1562100640,15.74,-96.47,59,91.4,3.22
63,Punta Arenas,75,CL,1562100640,-53.16,-70.91,80,35.6,5.82
64,Tefe,75,BR,1562100641,-3.35,-64.71,70,86.0,4.7
65,Kahului,90,US,1562100455,20.89,-156.47,100,84.2,8.05
66,Araceli,100,PH,1562100642,10.55,119.99,93,75.86,3.78
67,Shumskiy,0,RU,1562100642,54.83,99.13,96,51.74,1.77
68,Poletayevo,75,RU,1562100643,55.04,61.11,100,62.6,11.18
69,Havre-Saint-Pierre,1,CA,1562100614,50.23,-63.6,67,60.8,11.41
70,Grootfontein,0,NA,1562100644,-19.56,18.1,26,46.16,9.37
71,Upernavik,0,GL,1562100644,72.79,-56.15,85,40.76,8.23
72,Port Alfred,44,ZA,1562100644,-33.59,26.89,47,69.01,5.99
73,Bredasdorp,82,ZA,1562100645,-34.53,20.04,55,64.4,18.34
74,Castro,75,CL,1562100645,-42.48,-73.76,75,46.4,4.7
75,Arraial do Cabo,0,BR,1562100646,-22.97,-42.02,83,75.2,5.82
76,Ormara,80,PK,1562100647,25.21,64.64,80,82.88,3.44
77,Vaini,100,IN,1562100647,15.34,74.49,85,78.02,6.11
78,Barrow,41,AR,1562100648,-38.31,-60.23,59,43.46,18.05
79,Kroya,46,ID,1562100648,-6.5,108.06,84,71.0,3.69
80,Kaitangata,100,NZ,1562100649,-46.28,169.85,82,45.0,4.0
81,Uyemskiy,40,RU,1562100649,64.47,40.85,87,55.4,4.47
82,Butaritari,65,KI,1562100650,3.07,172.79,69,84.5,5.21
83,Guerrero Negro,0,MX,1562100650,27.97,-114.04,79,69.38,16.02
84,Axim,44,GH,1562100651,4.87,-2.24,90,77.84,9.8
85,Rio Grande,0,BR,1562100651,-32.03,-52.1,59,60.8,5.82
86,Kamenka,62,MD,1562100652,48.03,28.7,91,66.99,5.37
87,Sorong,100,ID,1562100653,-0.86,131.25,95,74.06,7.25
88,Narsaq,90,GL,1562100653,60.91,-46.05,66,50.0,10.29
89,Fort Nelson,75,CA,1562100653,58.81,-122.69,39,66.2,6.93
